district,dbn,school_type,school_name,impact,performance
1,01M015,Elementary,P.S. 015 Roberto Clemente,0.3,0.21
1,01M019,Elementary,P.S. 019 Asher Levy,0.72,0.52
1,01M020,Elementary,P.S. 020 Anna Silver,0.44,0.33
1,01M034,K-8,P.S. 034 Franklin D. Roosevelt,0.63,0.41
1,01M063,Elementary,The STAR Academy - P.S.63,0.63,0.4
1,01M064,Elementary,P.S. 064 Robert Simon,0.53,0.31
1,01M110,Elementary,P.S. 110 Florence Nightingale,0.61,0.59
1,01M134,Elementary,P.S. 134 Henrietta Szold,0.62,0.44
1,01M137,Elementary,P.S. 137 John L. Bernstein,0.46,0.21
1,01M140,K-8,P.S. 140 Nathan Straus,0.6,0.31
1,01M142,Elementary,P.S. 142 Amalia Castro,0.31,0.24
1,01M184,K-8,P.S. 184m Shuang Wen,0.86,0.94
1,01M188,K-8,P.S. 188 The Island School,0.47,0.29
1,01M292,High School,Henry Street School for International Studies,0.61,0.32
1,01M292,Middle,Henry Street School for International Studies,0.38,0.21
1,01M301,Middle,"Technology, Arts, and Sciences Studio",0.46,0.26
1,01M315,Elementary,The East Village Community School,0.69,0.62
1,01M332,Middle,University Neighborhood Middle School,0.52,0.28
1,01M345,Middle,"Collaborative Academy of Science, Technology, & La",0.6,0.33
1,01M361,Elementary,The Children's Workshop School,0.56,0.58
1,01M363,Elementary,Neighborhood School,0.47,0.52
1,01M364,Elementary,Earth School,0.83,0.77
1,01M378,Middle,School for Global Leaders,0.61,0.34
1,01M448,High School,University Neighborhood High School,0.75,0.52
1,01M450,High School,East Side Community School,0.57,0.66
1,01M450,Middle,East Side Community School,0.79,0.57
1,01M509,High School,Marta Valle High School,0.38,0.22
1,01M539,High School,"New Explorations into Science, Technology and Math",0.52,0.9
1,01M539,K-8,"New Explorations into Science, Technology and Math",0.6,0.97
1,01M696,High School,Bard High School Early College,0.46,0.9
1,01M839,Middle,Tompkins Square Middle School,0.8,0.64
2,02M001,Elementary,P.S. 001 Alfred E. Smith,0.8,0.6
2,02M002,Elementary,P.S. 002 Meyer London,0.9,0.68
2,02M003,Elementary,P.S. 003 Charrette School,0.55,0.86
2,02M006,Elementary,P.S. 006 Lillie D. Blake,0.76,0.96
2,02M011,Elementary,P.S. 011 William T. Harris,0.56,0.8
2,02M033,Elementary,P.S. 033 Chelsea Prep,0.47,0.75
2,02M040,Elementary,P.S. 040 Augustus Saint-Gaudens,0.82,0.96
2,02M041,Elementary,P.S. 041 Greenwich Village,0.82,0.96
2,02M042,Elementary,P.S. 042 Benjamin Altman,0.93,0.82
2,02M047,High School,47 The American Sign Language and English Secondar,0.69,0.55
2,02M051,Elementary,P.S. 051 Elias Howe,0.67,0.51
2,02M059,Elementary,P.S. 059 Beekman Hill International,0.64,0.95
2,02M077,Elementary,P.S. 77 Lower Lab School,0.82,0.95
2,02M089,Elementary,P.S. 89,0.78,0.96
2,02M104,Middle,J.H.S. 104 Simon Baruch,0.73,0.76
2,02M111,K-8,P.S. 111 Adolph S. Ochs,0.51,0.34
2,02M114,Middle,East Side Middle School,0.79,0.97
2,02M116,Elementary,P.S. 116 Mary Lindley Murray,0.53,0.77
2,02M124,Elementary,P.S. 124 Yung Wing,0.84,0.88
2,02M126,K-8,P.S. 126 Jacob August Riis,0.82,0.77
2,02M130,Elementary,P.S. 130 Hernando De Soto,0.83,0.9
2,02M131,Middle,M.S. 131,0.7,0.51
2,02M135,High School,The Urban Assembly School for Emergency Management,,
2,02M139,High School,Stephen T. Mather Building Arts & Craftsmanship Hi,,
2,02M150,Elementary,P.S. 150,0.7,0.89
2,02M151,Elementary,Yorkville Community School,0.48,0.64
2,02M158,Elementary,P.S. 158 Bayard Taylor,0.89,0.96
2,02M167,Middle,J.H.S. 167 Robert F. Wagner,0.67,0.77
2,02M177,Middle,Yorkville East Middle School,0.91,0.89
2,02M183,Elementary,P.S. 183 Robert L. Stevenson,0.49,0.85
2,02M198,Elementary,P.S. 198 Isador E. Ida Straus,0.39,0.51
2,02M212,Elementary,P.S. 212 Midtown West,0.48,0.89
2,02M217,K-8,P.S./I.S. 217 Roosevelt Island,0.47,0.64
2,02M225,K-8,Ella Baker School,0.42,0.51
2,02M234,Elementary,P.S. 234 Independence School,0.55,0.95
2,02M255,Middle,M.S. 255 Salk School of Science,0.64,0.95
2,02M260,Middle,M.S. 260 Clinton School Writers & Artists,0.7,0.86
2,02M267,Elementary,"East Side Elementary School, PS 267",0.33,0.9
2,02M276,K-8,BATTERY PARK CITY SCHOOL,0.44,0.79
2,02M280,High School,Manhattan Early College School for Advertising,,
2,02M282,High School,Urban Assembly Maker Academy,,
2,02M288,High School,Food and Finance High School,0.37,0.51
2,02M289,Middle,I.S. 289,0.49,0.79
2,02M290,Elementary,P.S. 290 Manhattan New School,0.66,0.97
2,02M294,High School,Essex Street Academy,0.52,0.53
2,02M296,High School,High School of Hospitality Management,0.59,0.48
2,02M298,High School,Pace High School,0.57,0.68
2,02M300,High School,"Urban Assembly School of Design and Construction,",0.51,0.4
2,02M303,High School,"Facing History School, The",0.6,0.36
2,02M305,High School,"Urban Assembly Academy of Government and Law, The",0.7,0.54
2,02M308,High School,Lower Manhattan Arts Academy,0.65,0.53
2,02M312,Middle,New York City Lab Middle School for Collaborative,0.77,0.96
2,02M316,High School,"Urban Assembly School of Business for Young Women,",0.46,0.42
2,02M347,K-8,The 47 American Sign Language & English Lower Scho,0.68,0.31
2,02M374,High School,Gramercy Arts High School,0.42,0.5
2,02M376,High School,NYC iSchool,0.55,0.82
2,02M392,High School,MANHATTAN BUSINESS ACADEMY,0.67,0.58
2,02M393,High School,BUSINESS OF SPORTS SCHOOL,0.58,0.42
2,02M397,Elementary,SPRUCE STREET SCHOOL,0.62,0.98
2,02M399,High School,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,0.49,0.49
2,02M400,High School,High School for Environmental Studies,0.44,0.54
2,02M407,High School,Institute for Collaborative Education,0.62,0.77
2,02M407,Middle,Institute for Collaborative Education,0.36,0.75
2,02M408,High School,Professional Performing Arts High School,0.45,0.78
2,02M408,Middle,Professional Performing Arts High School,0.34,0.95
2,02M411,High School,Baruch College Campus High School,0.67,0.92
2,02M412,High School,N.Y.C. Lab School for Collaborative Studies,0.59,0.86
2,02M413,High School,School of the Future High School,0.62,0.83
2,02M413,Middle,School of the Future High School,0.48,0.73
2,02M414,High School,N.Y.C. Museum School,0.65,0.89
2,02M416,High School,Eleanor Roosevelt High School,0.57,0.93
2,02M418,High School,Millennium High School,0.63,0.91
2,02M419,High School,Landmark High School,0.56,0.33
2,02M420,High School,High School for Health Professions and Human Servi,0.6,0.69
2,02M422,High School,Quest to Learn,,
2,02M422,Middle,Quest to Learn,0.47,0.62
2,02M425,High School,Leadership and Public Service High School,0.46,0.34
2,02M427,High School,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,0.31,0.28
2,02M429,High School,Legacy School for Integrated Studies,0.45,0.22
2,02M437,High School,Hudson High School of Learning Technologies,0.46,0.39
2,02M438,High School,International High School at Union Square,0.43,0.4
2,02M439,High School,Manhattan Village Academy,0.79,0.91
2,02M442,K-8,"Ballet Tech, NYC Public School for Dance",0.51,0.84
2,02M449,High School,Vanguard High School,0.65,0.52
2,02M459,High School,Manhattan International High School,0.63,0.6
2,02M460,High School,Washington Irving High School,0.38,0.15
2,02M475,High School,Stuyvesant High School,0.5,0.93
2,02M489,High School,High School of Economics and Finance,0.46,0.55
2,02M500,High School,Unity Center for Urban Technologies,0.67,0.4
2,02M507,High School,Urban Assembly Gateway School for Technology,0.68,0.65
2,02M519,High School,Talent Unlimited High School,0.59,0.83
2,02M520,High School,Murry Bergtraum High School for Business Careers,0.28,0.24
2,02M529,High School,Jacqueline Kennedy Onassis High School,0.43,0.38
2,02M531,High School,Repertory Company High School for Theatre Arts,0.67,0.8
2,02M533,High School,Union Square Academy for Health Sciences,0.6,0.57
2,02M534,High School,Harvest Collegiate High School,,
2,02M542,High School,Manhattan Bridges High School,0.68,0.67
2,02M543,High School,New Design High School,0.54,0.41
