,School Year,DBN,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,PROSE SCHOOL,X Coordinate,Y Coordinate,Latitude,Longitude,School Name,School Pupil-Teacher Ratio,DISTRICT_x,SCHOOL_x,PRINCIPAL_x,PROGRESS REPORT TYPE_x,SCHOOL LEVEL*_x,PEER INDEX*_x,2010-2011 OVERALL GRADE_x,2010-2011 OVERALL SCORE_x,2010-2011 ENVIRONMENT CATEGORY SCORE_x,2010-2011 ENVIRONMENT GRADE_x,2010-2011 PERFORMANCE CATEGORY SCORE_x,2010-2011 PERFORMANCE GRADE_x,2010-2011 PROGRESS CATEGORY SCORE_x,2010-2011 PROGRESS GRADE_x,2010-2011 ADDITIONAL CREDIT_x,2009-10 PROGRESS REPORT GRADE_x,DISTRICT_y,SCHOOL_y,PRINCIPAL_y,PROGRESS REPORT TYPE_y,SCHOOL LEVEL*_y,PEER INDEX*_y,2010-2011 OVERALL GRADE_y,2010-2011 OVERALL SCORE_y,2010-2011 ENVIRONMENT CATEGORY SCORE_y,2010-2011 ENVIRONMENT GRADE_y,2010-2011 PERFORMANCE CATEGORY SCORE_y,2010-2011 PERFORMANCE GRADE_y,2010-2011 PROGRESS CATEGORY SCORE_y,2010-2011 PROGRESS GRADE_y,2010-2011 ADDITIONAL CREDIT_y,2009-10 PROGRESS REPORT GRADE_y
0,2015-16,01M015,M015,P.S. 015 Roberto Clemente,3.1e+11,DOE,General Academic,Elementary,"PK,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/1644,Open,M015,333 EAST 4 STREET,MANHATTAN,NY,10009,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,990141.0,202349.0,40.722075,-73.978747,P.S. 015 ROBERTO CLEMENTE,9.2,1.0,P.S. 015 Roberto Clemente,Irene Sanchez,EMS,Elementary,63.61,C,27.0,6.4,B,2.1,D,18.0,C,0.5,C,1.0,P.S. 015 Roberto Clemente,Irene Sanchez,EMS,Elementary,63.61,C,27.0,6.4,B,2.1,D,18.0,C,0.5,C
1,2015-16,01M019,M019,P.S. 019 Asher Levy,3.1e+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/20637,Open,M019,185 1 AVENUE,MANHATTAN,NY,10003,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,988547.0,205239.0,40.730009,-73.984496,P.S. 019 ASHER LEVY,7.0,1.0,P.S. 019 Asher Levy,Jacqueline Flanagan,EMS,Elementary,49.48,B,48.7,7.8,B,5.2,D,35.1,A,0.5,C,1.0,P.S. 019 Asher Levy,Jacqueline Flanagan,EMS,Elementary,49.48,B,48.7,7.8,B,5.2,D,35.1,A,0.5,C
2,2015-16,01M020,M020,P.S. 020 Anna Silver,3.1e+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/23193,Open,M020,166 ESSEX STREET,MANHATTAN,NY,10002,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,988044.0,202068.0,40.721305,-73.986312,P.S. 020 ANNA SILVER,13.3,1.0,P.S. 020 Anna Silver,James Lee,EMS,Elementary,56.65,B,48.2,7.7,B,7.4,C,31.1,B,2.0,A,1.0,P.S. 020 Anna Silver,James Lee,EMS,Elementary,56.65,B,48.2,7.7,B,7.4,C,31.1,B,2.0,A
3,2015-16,01M034,M034,P.S. 034 Franklin D. Roosevelt,3.1e+11,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",01/01/20271,Open,M034,730 EAST 12 STREET,MANHATTAN,NY,10009,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,991163.0,203782.0,40.726008,-73.975058,P.S. 034 FRANKLIN D. ROOSEVELT,10.9,1.0,P.S. 034 Franklin D. Roosevelt,Joyce Stallings Harte,EMS,K-8,67.97,C,39.8,7.5,B,11.3,B,18.5,C,2.5,B,1.0,P.S. 034 Franklin D. Roosevelt,Joyce Stallings Harte,EMS,K-8,67.97,C,39.8,7.5,B,11.3,B,18.5,C,2.5,B
4,2015-16,01M063,M063,The STAR Academy - P.S.63,3.1e+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/2009,Open,M063,121 EAST 3 STREET,MANHATTAN,NY,10009,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,988071.0,203210.0,40.72444,-73.986214,THE STAR ACADEMY - P.S.63,10.6,1.0,P.S. 063 William McKinley,Darlene Despeignes,EMS,Elementary,58.85,B,49.0,8.1,B,10.4,B,29.0,B,1.5,B,1.0,P.S. 063 William McKinley,Darlene Despeignes,EMS,Elementary,58.85,B,49.0,8.1,B,10.4,B,29.0,B,1.5,B
5,2015-16,01M064,M064,P.S. 064 Robert Simon,3.1e+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",01/01/19906,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,989351.0,202733.0,40.72313,-73.981597,P.S. 064 ROBERT SIMON,9.3,1.0,P.S. 064 Robert Simon,Marlon L. Hosang,EMS,Elementary,60.73,C,25.8,9.7,A,4.5,D,11.6,D,0.0,C,1.0,P.S. 064 Robert Simon,Marlon L. Hosang,EMS,Elementary,60.73,C,25.8,9.7,A,4.5,D,11.6,D,0.0,C
6,2015-16,01M110,M110,P.S. 110 Florence Nightingale,3.1e+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",12/22/0912,Open,M110,285 DELANCY STREET,MANHATTAN,NY,10002,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,989817.0,199992.0,40.7162,-73.9798,P.S. 110 FLORENCE NIGHTINGALE,14.7,1.0,P.S. 110 Florence Nightingale,Karen Feuer,EMS,Elementary,40.85,C,38.1,4.1,C,10.9,B,22.1,C,1.0,D,1.0,P.S. 110 Florence Nightingale,Karen Feuer,EMS,Elementary,40.85,C,38.1,4.1,C,10.9,B,22.1,C,1.0,D
7,2015-16,01M134,M134,P.S. 134 Henrietta Szold,3.1e+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/22098,Open,M134,293 EAST BROADWAY,MANHATTAN,NY,10002,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,988726.0,199497.0,40.714248,-73.983854,P.S. 134 HENRIETTA SZOLD,9.8,1.0,P.S. 134 Henrietta Szold,Loretta Caputo,EMS,Elementary,54.33,C,34.6,4.2,C,5.9,C,24.0,C,0.5,B,1.0,P.S. 134 Henrietta Szold,Loretta Caputo,EMS,Elementary,54.33,C,34.6,4.2,C,5.9,C,24.0,C,0.5,B
8,2015-16,01M137,M137,P.S. 137 John L. Bernstein,3.1e+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/24289,Open,M134,293 EAST BROADWAY,MANHATTAN,NY,10002,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,988726.0,199497.0,40.714248,-73.983854,P.S. 137 JOHN L. BERNSTEIN,10.1,1.0,P.S. 137 John L. Bernstein,Melissa Rodriguez,EMS,Elementary,57.88,F,17.6,5.1,C,4.8,D,6.7,F,1.0,C,1.0,P.S. 137 John L. Bernstein,Melissa Rodriguez,EMS,Elementary,57.88,F,17.6,5.1,C,4.8,D,6.7,F,1.0,C
9,2015-16,01M140,M140,P.S. 140 Nathan Straus,3.1e+11,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",01/01/21732,Open,M140,123 RIDGE STREET,MANHATTAN,NY,10002,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,988749.0,201282.0,40.719148,-73.983769,P.S. 140 NATHAN STRAUS,12.4,1.0,P.S. 140 Nathan Straus,Esteban Barrientos,EMS,K-8,61.28,D,23.6,8.4,B,5.1,D,9.6,D,0.5,B,1.0,P.S. 140 Nathan Straus,Esteban Barrientos,EMS,K-8,61.28,D,23.6,8.4,B,5.1,D,9.6,D,0.5,B
